page,slot,idx,traj_idx,start_frame,turn_score,path_length,max_step,net_disp,ours_ade,ours_fde,advantage_avg_baseline_minus_ours,lstm_ade,tcn_ade,transformer_ade
1,1,5407,77,51,0.4680591821670532,8.654393196105957,0.4349938929080963,8.654379844665527,0.06351084262132645,0.17571832239627838,0.6944793984293938,0.31270310282707214,0.43219366669654846,1.52907395362854
1,2,7287,104,21,173.429931640625,4.939173221588135,0.2743198275566101,4.509191036224365,0.6742556691169739,0.9622329473495483,0.555518349011739,0.7058956027030945,0.7200521230697632,2.2633743286132812
1,3,2849,40,147,61.838172912597656,1.9849853515625,0.10826841741800308,1.9690099954605103,0.35810601711273193,0.5495480895042419,1.4176454146703084,2.427192449569702,1.4918105602264404,1.4082512855529785
1,4,604,8,132,64.16169738769531,1.7585004568099976,0.14569291472434998,1.747100591659546,0.3861420750617981,0.8539207577705383,1.27597314119339,0.6040676832199097,0.7914290428161621,3.590848922729492
1,5,12529,178,207,0.006283773574978113,17.504146575927734,0.875228762626648,17.504148483276367,0.6066561937332153,2.8616952896118164,2.474374254544576,4.084902763366699,2.949423313140869,2.2087652683258057
1,6,2100,30,0,91.73361206054688,9.592839241027832,0.48966896533966064,8.421578407287598,0.3943787217140198,0.7517029047012329,2.292051613330841,1.3924707174301147,1.656109094619751,5.010711193084717
1,7,13031,186,33,30.743799209594727,3.0128955841064453,0.621078610420227,2.8955905437469482,0.5602113008499146,2.8561108112335205,0.7298826972643535,0.7852380871772766,1.0045912265777588,2.0804526805877686
1,8,1330,19,0,30.36391830444336,16.424943923950195,1.0306079387664795,16.338123321533203,1.2166428565979004,2.0544867515563965,0.6430599292119343,1.4718271493911743,2.0601494312286377,2.0471317768096924
1,9,3335,47,135,0.30086299777030945,2.437222719192505,0.15334279835224152,2.437222480773926,0.30075258016586304,0.5517793893814087,1.6496421893437703,1.4014133214950562,0.7009878754615784,3.7487831115722656
2,1,5251,75,3,0.6176403164863586,2.378567695617676,0.11939577758312225,2.378565788269043,0.3208426535129547,0.6989363431930542,1.0444823205471039,0.7399135828018188,0.8570235967636108,2.499037742614746
2,2,9041,129,33,96.44385528564453,9.024681091308594,0.5209388732910156,8.757741928100586,0.7268981337547302,0.8728617429733276,-0.13631023963292443,0.4167063236236572,0.9019344449043274,0.45312291383743286
